num_round,Leader_P,Follower_P,Leader_Q,Follower_Q,Leader_R,Follower_R
NA,NA,NA,NA,NA,NA,NA
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,6.60E+34
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,1.86E+30
8.5,8.5,8.5,8.5,8.5,8.5,8.5
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,5.33E+48
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,1.62E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,4.40E+39
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,1.07E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,2.72E+30
9,9,9,9,9,9,9
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,9.06E+48
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,2.43E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,6.13E+39
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,1.56E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,3.76E+30
9.5,9.5,9.5,9.5,9.5,9.5,9.5
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,1.26E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,3.16E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,8.17E+39
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,1.94E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,4.83E+30
10,10,10,10,10,10,10
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,1.63E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,3.98E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,9.95E+39
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,2.39E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,5.81E+30
10.5,10.5,10.5,10.5,10.5,10.5,10.5
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,2.00E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,4.89E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,1.18E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,2.84E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,6.70E+30
11,11,11,11,11,11,11
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,2.34E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,5.68E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,1.39E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,3.34E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,7.79E+30
11.5,11.5,11.5,11.5,11.5,11.5,11.5
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,2.69E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,6.55E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,1.57E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,3.71E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,8.69E+30
12,12,12,12,12,12,12
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,3.01E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,7.37E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,1.78E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,4.21E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,9.76E+30
12.5,12.5,12.5,12.5,12.5,12.5,12.5
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,3.36E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,8.16E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,1.96E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,4.66E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,1.06E+31
13,13,13,13,13,13,13
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,3.76E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,8.96E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,2.16E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,5.08E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,1.16E+31
13.5,13.5,13.5,13.5,13.5,13.5,13.5
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,4.09E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,9.88E+44
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,2.33E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,5.50E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,1.27E+31
14,14,14,14,14,14,14
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,4.45E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,1.06E+45
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,2.54E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,5.96E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,1.36E+31
14.5,14.5,14.5,14.5,14.5,14.5,14.5
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,4.76E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,1.15E+45
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,2.73E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,6.34E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,1.46E+31
15,15,15,15,15,15,15
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,5.13E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,1.23E+45
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,2.93E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,6.81E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,1.56E+31
15.5,15.5,15.5,15.5,15.5,15.5,15.5
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,5.49E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,1.31E+45
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,3.10E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,7.27E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,1.66E+31
16,16,16,16,16,16,16
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,5.84E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,1.39E+45
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,3.32E+40
4,63.83751525,64.07050385,514.036989,0,-2.57E+36,7.65E+35
5,53.13347956,53.36635375,441.7438947,0,-5.77E+31,1.75E+31
16.5,16.5,16.5,16.5,16.5,16.5,16.5
1,95.85078315,96.08398139,730.9874361,0,-2.06E+50,6.19E+49
2,85.19245777,85.4256012,658.6614304,0,-4.84E+45,1.49E+45
3,74.52237991,74.75545528,586.3438865,0,-1.12E+41,3.48E+40
